Row No.,Sale Date,Sale Type,Digital,Customer ID,ZipCode,Shipping Method,Product,Variant,Quantity,Price,Product Price
25,03/12/2019,Direct - B2C,Online - Website,6,598510,Standard Delivery,Limited Edition Gift box 3x100ml,2020,10,19.9,159.2
26,03/12/2019,Direct - B2B,Online - Website,7,239003,Standard Delivery,Nobile Fiorentina bottle,750,24,19.9,477.6
27,03/12/2019,Consignment,Online - Website,7,239003,Standard Delivery,Organic Bio/Olio,500,4,16.9,67.6
28,03/12/2019,Consignment,Online - Website,7,239003,Standard Delivery,Nobile,250,4,7.9,31.6
29,03/12/2019,Consignment,Online - Website,7,239003,Standard Delivery,Chili oil,100,3,5.9,17.7
30,03/12/2019,Consignment,Online - Website,7,239003,Standard Delivery,Lemon oil,100,3,5.9,17.7
31,03/12/2019,Consignment,Online - Website,7,239003,Standard Delivery,Organic Bio/Olio,100,3,5.9,17.7
32,03/12/2019,Consignment,Online - Website,7,239003,Standard Delivery,Garlic and Rosemary oil,100,3,5.9,17.7
33,03/12/2019,Consignment,Online - Website,7,239003,Standard Delivery,Basil oil,100,3,5.9,17.7
34,03/12/2019,Consignment,Online - Website,7,239003,Standard Delivery,Truffle oil,100,3,7.9,23.7
35,03/12/2019,Consignment,Online - Website,7,239003,Standard Delivery,Limited Edition Gift box 3x100ml,2020,4,19.9,79.6
36,03/12/2019,Direct - B2B,Online - Website,1,437050,Standard Delivery,Nobile,5000,2,109,218
37,04/12/2019,Direct - B2C,Online - Website,8,238237,Standard Delivery,Nobile Fiorentina bottle,750,1,19.9,15.92
38,04/12/2019,Direct - B2C,Online - Website,8,238237,Standard Delivery,Truffle oil,250,1,12.9,10.32
39,04/12/2019,Direct - B2C,Online - Website,8,238237,Standard Delivery,Lemon oil,250,1,11.9,9.52
40,05/12/2019,Direct - B2C,Online - Website,9,208095,Standard Delivery,Nobile,5000,1,109,87.2
41,05/12/2019,Marketing,Online - Website,10,,Standard Delivery,Lemon oil,250,1,11.9,11.9
42,08/12/2019,Marketing,Online - Website,11,,Standard Delivery,Chili oil,100,1,5.9,5.9
43,08/12/2019,Marketing,Online - Website,11,,Standard Delivery,Organic Bio/Olio,100,1,5.9,5.9
44,08/12/2019,Marketing,Online - Website,11,,Standard Delivery,Truffle oil,100,1,7.9,7.9
45,09/12/2019,Direct - B2C,Online - Website,12,542122,Standard Delivery,Limited Edition Gift box 3x100ml,2020,10,19.9,159.2
46,10/12/2019,Direct - B2C,Online - Website,12,542122,Standard Delivery,Truffle oil,100,1,7.9,6.32
47,10/12/2019,Direct - B2C,Online - Website,12,542122,Standard Delivery,Garlic and Rosemary oil,100,1,5.9,4.72
48,10/12/2019,Direct - B2C,Online - Website,13,460204,Standard Delivery,Limited Edition Gift box 3x100ml,2020,2,19.9,31.84
49,10/12/2019,Direct - B2C,Online - Website,14,247912,Standard Delivery,Nobile Fiorentina bottle,750,2,19.9,39.8
50,10/12/2019,Direct - B2C,Online - Website,14,247912,Standard Delivery,Gentile,1000,1,22.9,22.9
51,10/12/2019,Direct - B2C,Online - Website,15,,Standard Delivery,Limited Edition Gift box 3x100ml,2020,2,19.9,39.8
52,10/12/2019,Direct - B2C,Online - Website,16,558260,Standard Delivery,Nobile,5000,1,109,109
53,10/12/2019,Direct - B2C,Online - Website,16,558260,Standard Delivery,Limited Edition Gift box 3x100ml,2020,1,19.9,19.9
54,10/12/2019,Direct - B2C,Online - Website,17,,Standard Delivery,Organic Bio/Olio,500,1,16.9,16.9
55,10/12/2019,Direct - B2C,Online - Website,18,439970,Standard Delivery,Nobile,5000,1,109,109
56,10/12/2019,Direct - B2C,Online - Website,19,,Standard Delivery,Limited Edition Gift box 3x100ml,2020,1,19.9,19.9
57,10/12/2019,Direct - B2C,Online - Website,19,,Standard Delivery,Chili oil,100,1,5.9,5.9
58,10/12/2019,Direct - B2C,Online - Website,19,,Standard Delivery,Truffle oil,100,1,7.9,7.9
59,10/12/2019,Direct - B2C,Online - Website,20,169658,Standard Delivery,Limited Edition Gift box 3x100ml,2020,1,19.9,19.9
60,10/12/2019,Direct - B2C,Online - Website,21,,Standard Delivery,Nobile Fiorentina bottle,750,1,19.9,19.9
61,10/12/2019,Direct - B2C,Online - Website,22,,Standard Delivery,Nobile Fiorentina bottle,750,2,19.9,39.8
62,10/12/2019,Direct - B2C,Online - Website,23,,Standard Delivery,Truffle oil,100,1,7.9,7.9
63,10/12/2019,Direct - B2C,Online - Website,24,,Standard Delivery,Limited Edition Gift box 3x100ml,2020,1,19.9,19.9
64,10/12/2019,Direct - B2C,Online - Website,25,,Standard Delivery,Limited Edition Gift box 3x100ml,2020,1,19.9,19.9
65,10/12/2019,Direct - B2C,Online - Website,25,,Standard Delivery,Nobile,250,1,7.9,7.9
66,10/12/2019,Direct - B2C,Online - Website,26,,Standard Delivery,Truffle oil,250,1,12.9,12.9
67,10/12/2019,Direct - B2C,Online - Website,26,,Standard Delivery,Truffle oil,100,2,7.9,15.8
68,10/12/2019,Direct - B2C,Online - Website,27,,Standard Delivery,Limited Edition Gift box 3x100ml,2020,1,19.9,19.9
69,10/12/2019,Direct - B2C,Online - Website,27,,Standard Delivery,Truffle oil,100,1,7.9,7.9
70,10/12/2019,Direct - B2C,Online - Website,28,,Standard Delivery,Truffle oil,250,2,12.9,25.8
71,10/12/2019,Direct - B2C,Online - Website,29,,Standard Delivery,Chili oil,100,2,5.9,11.8
72,10/12/2019,Direct - B2C,Online - Website,29,,Standard Delivery,Lemon oil,100,2,5.9,11.8
73,10/12/2019,Direct - B2C,Online - Website,29,,Standard Delivery,Organic Bio/Olio,100,2,5.9,11.8
74,10/12/2019,Direct - B2C,Online - Website,29,,Standard Delivery,Garlic and Rosemary oil,100,2,5.9,11.8
75,10/12/2019,Direct - B2C,Online - Website,29,,Standard Delivery,Basil oil,100,2,5.9,11.8
76,10/12/2019,Direct - B2C,Online - Website,29,,Standard Delivery,Truffle oil,100,2,7.9,15.8
77,10/12/2019,Direct - B2C,Online - Website,30,,Standard Delivery,Truffle oil,100,3,7.9,23.7
78,10/12/2019,Direct - B2C,Online - Website,31,249444,Standard Delivery,Nobile,5000,1,109,109
79,10/12/2019,Direct - B2C,Online - Website,32,,Standard Delivery,Nobile,250,1,7.9,7.9
80,10/12/2019,Marketing,Online - Website,33,,Standard Delivery,Truffle oil,100,1,7.9,7.9
81,10/12/2019,Marketing,Online - Website,33,,Standard Delivery,Organic Bio/Olio,100,1,5.9,5.9
82,10/12/2019,Marketing,Online - Website,6,598510,Standard Delivery,Organic Bio/Olio,500,2,16.9,27.04
83,10/12/2019,Direct - B2B,Online - Website,34,787602,Standard Delivery,Nobile,250,6,7.9,47.4
84,10/12/2019,Direct - B2B,Online - Website,34,787602,Standard Delivery,Organic Bio/Olio,100,16,5.9,94.4
85,10/12/2019,Direct - B2B,Online - Website,34,787602,Standard Delivery,Organic Bio/Olio,500,6,16.9,101.4
86,10/12/2019,Direct - B2B,Online - Website,34,787602,Standard Delivery,Lemon oil,100,10,5.9,59
87,10/12/2019,Direct - B2B,Online - Website,34,787602,Standard Delivery,Garlic and Rosemary oil,100,6,5.9,35.4
88,10/12/2019,Direct - B2B,Online - Website,34,787602,Standard Delivery,Basil oil,100,9,5.9,53.1
89,10/12/2019,Direct - B2B,Online - Website,34,787602,Standard Delivery,Truffle oil,100,18,7.9,142.2
90,11/12/2019,Direct - B2C,Online - Website,12,542122,Standard Delivery,Truffle oil,250,10,12.9,129
91,12/12/2019,Direct - B2C,Online - Website,12,542122,Standard Delivery,Truffle oil,250,5,12.9,64.5
92,12/12/2019,Direct - B2B,Online - Website,3,608830,Standard Delivery,Truffle oil,250,10,12.9,129
93,15/12/2019,Direct - B2C,Online - Website,35,247912,Standard Delivery,Nobile,5000,1,109,87.2
94,17/12/2019,Marketing,Online - Website,2,126793,Standard Delivery,Limited Edition Gift box 3x100ml,2020,5,19.9,99.5
95,17/12/2019,Marketing,Online - Website,2,126793,Standard Delivery,Truffle oil,100,2,7.9,15.8
96,17/12/2019,Marketing,Online - Website,36,608531,Standard Delivery,Lemon oil,100,1,5.9,5.9
97,17/12/2019,Marketing,Online - Website,2,126793,Standard Delivery,Garlic and Rosemary oil,100,1,5.9,5.9
98,17/12/2019,Direct - B2C,Online - Website,36,608531,Standard Delivery,Limited Edition Gift box 3x100ml,2020,2,19.9,39.8
99,17/12/2019,Marketing,Online - Website,36,608531,Standard Delivery,Truffle oil,100,2,7.9,15.8
100,17/12/2019,Marketing,Online - Website,36,608531,Standard Delivery,Lemon oil,100,2,5.9,11.8
101,07/01/2020,Direct - B2C,Online - Website,5,328498,Standard Delivery,Gentile,1000,1,22.9,18.32
102,09/01/2020,Direct - B2C,Online - Website,37,534015,Standard Delivery,Limited Edition Gift box 3x100ml,2020,2,19.9,31.84
103,09/01/2020,Direct - B2C,Online - Website,37,534015,Standard Delivery,Truffle oil,100,10,7.9,63.2
104,09/01/2020,Direct - B2C,Online - Website,37,534015,Standard Delivery,Organic Bio/Olio,100,16,5.9,75.52
105,09/01/2020,Direct - B2C,Online - Website,7,239003,Standard Delivery,Nobile Fiorentina bottle,750,5,19.9,99.5
106,09/01/2020,Direct - B2C,Online - Website,7,239003,Standard Delivery,Nobile Marasca bottle,750,10,18.9,189
107,09/01/2020,Direct - B2C,Online - Website,7,239003,Standard Delivery,Organic Bio/Olio,500,10,16.9,169
108,09/01/2020,Direct - B2C,Online - Website,7,239003,Standard Delivery,Lemon oil,250,2,11.9,23.8
109,09/01/2020,Direct - B2C,Online - Website,7,239003,Standard Delivery,Garlic and Rosemary oil,250,1,11.9,11.9
110,09/01/2020,Direct - B2C,Online - Website,7,239003,Standard Delivery,Chili oil,250,1,11.9,11.9
111,09/01/2020,Direct - B2C,Online - Website,7,239003,Standard Delivery,Basil oil,250,1,11.9,11.9
112,09/01/2020,Direct - B2C,Online - Website,7,239003,Standard Delivery,Organic Bio/Olio,100,2,5.9,11.8
113,09/01/2020,Direct - B2C,Online - Website,7,239003,Standard Delivery,Chili oil,100,2,5.9,11.8
114,09/01/2020,Direct - B2C,Online - Website,7,239003,Standard Delivery,Lemon oil,100,2,5.9,11.8
115,09/01/2020,Direct - B2C,Online - Website,7,239003,Standard Delivery,Garlic and Rosemary oil,100,2,5.9,11.8
116,09/01/2020,Direct - B2C,Online - Website,7,239003,Standard Delivery,Basil oil,100,2,5.9,11.8
117,09/01/2020,Direct - B2C,Online - Website,7,239003,Standard Delivery,Limited Edition Gift box 3x100ml,2020,2,19.9,39.8
118,10/01/2020,Direct - B2C,Online - Website,38,309962,Standard Delivery,Gentile,1000,4,22.9,73.28
119,22/01/2020,Direct - B2C,Online - Website,39,163078,Standard Delivery,Gentile,1000,1,22.9,18.32
120,22/01/2020,Marketing,Online - Website,39,163078,Standard Delivery,Lemon oil,100,1,5.9,4.72
121,03/02/2020,Direct - B2C,Online - Website,40,,Standard Delivery,Nobile,5000,1,109,109
122,03/02/2020,Marketing,Online - Website,2,126793,Standard Delivery,Organic Bio/Olio,100,1,5.9,5.9
123,03/02/2020,Marketing,Online - Website,2,126793,Standard Delivery,Basil oil,100,1,5.9,5.9
124,03/02/2020,Marketing,Online - Website,2,126793,Standard Delivery,Garlic and Rosemary oil,100,2,5.9,11.8
125,03/02/2020,Marketing,Online - Website,2,126793,Standard Delivery,Lemon oil,250,1,11.9,11.9
126,13/02/2020,Marketing,Online - Website,41,,Standard Delivery,Organic Bio/Olio,100,3,5.9,17.7
127,13/02/2020,Direct - B2C,Online - Website,42,600021,Standard Delivery,Truffle oil,250,1,12.9,10.32
128,13/02/2020,Direct - B2C,Online - Website,42,600021,Standard Delivery,Nobile Marasca bottle,750,1,18.9,15.12
129,13/02/2020,Direct - B2C,Online - Website,42,600021,Standard Delivery,Garlic and Rosemary oil,100,1,5.9,4.72
130,15/02/2020,Marketing,Online - Website,2,126793,Standard Delivery,Gentile,1000,2,22.9,45.8
131,15/02/2020,Marketing,Online - Website,2,126793,Standard Delivery,Chili oil,250,1,11.9,11.9
132,15/02/2020,Marketing,Online - Website,2,126793,Standard Delivery,Lemon oil,250,1,11.9,11.9
133,15/02/2020,Marketing,Online - Website,2,126793,Standard Delivery,Garlic and Rosemary oil,250,1,11.9,11.9
134,15/02/2020,Direct - B2C,Online - Website,2,126793,Standard Delivery,Truffle oil,250,1,12.9,12.9
135,16/02/2020,Direct - B2C,Online - Website,39,163078,Standard Delivery,Gentile,1000,1,22.9,18.32
136,16/02/2020,Direct - B2C,Online - Website,39,163078,Standard Delivery,Organic Bio/Olio,500,1,16.9,13.52
137,16/02/2020,Direct - B2C,Online - Website,43,436916,Standard Delivery,Truffle oil,100,3,7.9,18.96
138,16/02/2020,Direct - B2C,Online - Website,43,436916,Standard Delivery,Truffle oil,250,1,12.9,10.32
139,16/02/2020,Marketing,Online - Website,43,436916,Standard Delivery,Lemon oil,100,1,5.9,4.72
140,16/02/2020,Direct - B2C,Online - Website,43,436916,Standard Delivery,Garlic and Rosemary oil,100,4,5.9,18.88
141,16/02/2020,Direct - B2C,Online - Website,43,436916,Standard Delivery,Gentile,1000,1,22.9,18.32
142,16/02/2020,Direct - B2C,Online - Website,43,436916,Standard Delivery,Organic Bio/Olio,100,1,5.9,4.72
143,16/02/2020,Direct - B2C,Online - Website,43,436916,Standard Delivery,Nobile Marasca bottle,750,1,18.9,15.12
144,23/02/2020,Direct - B2C,Online - Website,43,436916,Standard Delivery,Nobile Marasca bottle,750,2,18.9,30.24
145,23/02/2020,Direct - B2C,Online - Website,43,436916,Standard Delivery,Lemon oil,100,1,5.9,4.72
146,23/02/2020,Direct - B2C,Online - Website,43,436916,Standard Delivery,Truffle oil,100,1,7.9,6.32
147,23/02/2020,Direct - B2C,Online - Website,43,436916,Standard Delivery,Garlic and Rosemary oil,100,1,5.9,4.72
148,23/02/2020,Direct - B2C,Online - Website,43,436916,Standard Delivery,Chili oil,100,1,5.9,4.72
149,23/02/2020,Direct - B2C,Online - Website,43,436916,Standard Delivery,Basil oil,100,1,5.9,4.72
150,23/02/2020,Direct - B2C,Online - Website,44,,Standard Delivery,Truffle oil,250,1,12.9,12.9
151,23/02/2020,Direct - B2C,Online - Website,45,,Standard Delivery,Truffle oil,250,1,12.9,12.9
152,23/02/2020,Marketing,Online - Website,2,126793,Standard Delivery,Truffle oil,250,1,12.9,12.9
153,23/02/2020,Direct - B2C,Offline,46,589488,Standard Delivery,Nobile,5000,1,109,87.2
154,24/02/2020,Direct - B2C,Online - Website,38,309962,Standard Delivery,Nobile Marasca bottle,750,5,18.9,75.6
155,24/02/2020,Direct - B2C,Online - Website,38,309962,Standard Delivery,Gentile,1000,1,22.9,18.32
156,24/02/2020,Marketing,Online - Website,38,309962,Standard Delivery,Chili oil,100,1,5.9,4.72
157,24/02/2020,Direct - B2C,Online - Website,47,238141,Standard Delivery,Gentile,1000,6,22.9,109.92
158,24/02/2020,Direct - B2C,Online - Website,48,119613,Standard Delivery,Nobile,250,2,7.9,12.64
159,24/02/2020,Direct - B2C,Online - Website,48,119613,Standard Delivery,Truffle oil,100,1,7.9,6.32
160,25/02/2020,Direct - B2C,Online - Website,38,309962,Standard Delivery,Nobile,250,1,7.9,6.32
161,25/03/2020,Direct - B2C,Online - Website,35,247912,Standard Delivery,Gentile,5000,1,109,87.2
162,29/03/2020,Direct - B2C,Online - Website,16,558260,Standard Delivery,Gentile,5000,2,109,218
163,29/03/2020,Marketing,Online - Website,16,558260,Standard Delivery,Lemon oil,250,1,11.9,11.9
164,29/03/2020,Direct - B2C,Online - Website,39,163078,Standard Delivery,Gentile,5000,1,109,87.2
165,29/03/2020,Direct - B2C,Online - Website,49,228229,Standard Delivery,Nobile Marasca bottle,750,1,18.9,18.9
166,29/03/2020,Direct - B2C,Online - Website,49,228229,Standard Delivery,Gentile,5000,1,109,109
167,05/04/2020,Direct - B2C,Online - Website,31,249444,Standard Delivery,Gentile,5000,1,109,109
168,05/04/2020,Marketing,Online - Website,2,126793,Standard Delivery,Gentile,5000,1,109,109
169,05/04/2020,Marketing,Online - Website,2,126793,Standard Delivery,Nobile Fiorentina bottle,750,1,19.9,19.9
170,05/04/2020,Marketing,Online - Website,2,126793,Standard Delivery,Organic Bio/Olio,500,1,16.9,16.9
171,05/04/2020,Marketing,Online - Website,2,126793,Standard Delivery,Organic Bio/Olio,100,1,5.9,5.9
172,05/04/2020,Marketing,Online - Website,2,126793,Standard Delivery,Truffle oil,100,2,7.9,15.8
173,05/04/2020,Marketing,Online - Website,2,126793,Standard Delivery,Basil oil,100,1,5.9,5.9
174,05/04/2020,Marketing,Online - Website,2,126793,Standard Delivery,Chili oil,100,1,5.9,5.9
175,05/04/2020,Marketing,Online - Website,2,126793,Standard Delivery,Chili oil,250,1,11.9,11.9
176,08/04/2020,Direct - B2C,Online - Website,8,238237,Standard Delivery,Chili oil,250,1,11.9,9.52
177,08/04/2020,Direct - B2C,Online - Website,8,238237,Standard Delivery,Basil oil,250,1,11.9,9.52
178,08/04/2020,Direct - B2C,Online - Website,8,238237,Standard Delivery,Garlic and Rosemary oil,250,1,11.9,9.52
179,08/04/2020,Direct - B2C,Online - Website,50,570181,Standard Delivery,Basil oil,250,1,11.9,11.9
180,08/04/2020,Direct - B2C,Online - Website,50,570181,Standard Delivery,Chili oil,100,1,5.9,5.9
181,08/04/2020,Direct - B2C,Online - Website,50,570181,Standard Delivery,Nobile Marasca bottle,750,1,18.9,18.9
182,12/04/2020,Direct - B2C,Online - Website,51,436928,Standard Delivery,Nobile Fiorentina bottle,750,3,19.9,50.745
183,12/04/2020,Direct - B2C,Online - Website,51,436928,Standard Delivery,Nobile Marasca bottle,750,1,18.9,16.065
184,12/04/2020,Direct - B2C,Online - Website,51,436928,Standard Delivery,Garlic and Rosemary oil,250,1,11.9,10.115
185,12/04/2020,Direct - B2C,Online - Website,51,436928,Standard Delivery,Truffle oil,100,1,7.9,6.715
186,12/04/2020,Direct - B2C,Online - Website,51,436928,Standard Delivery,Basil oil,250,1,11.9,10.115
187,12/04/2020,Direct - B2C,Online - Website,52,680503,Standard Delivery,Truffle oil,250,1,12.9,10.32
188,28/04/2020,Direct - B2C,Online - Website,53,249565,Standard Delivery,Truffle oil,100,1,7.9,6.32
189,01/05/2020,Direct - B2C,Online - Website,54,309311,Standard Delivery,Nobile Fiorentina bottle,750,1,19.9,15.92
190,01/05/2020,Direct - B2C,Online - Website,54,309311,Standard Delivery,Nobile Marasca bottle,750,1,18.9,15.12
191,01/05/2020,Direct - B2C,Online - Website,54,309311,Standard Delivery,Truffle oil,250,1,12.9,10.32
192,01/05/2020,Direct - B2C,Online - Website,54,309311,Standard Delivery,Chili oil,100,1,5.9,4.72
193,01/05/2020,Marketing,Online - Website,54,309311,Standard Delivery,Lemon oil,100,1,5.9,4.72
194,01/05/2020,Direct - B2C,Online - Website,2,126793,Standard Delivery,Nobile Marasca bottle,750,4,18.9,75.6
195,01/05/2020,Direct - B2C,Online - Website,2,126793,Standard Delivery,Organic Bio/Olio,100,1,5.9,5.9
196,01/05/2020,Marketing,Online - Website,2,126793,Standard Delivery,Truffle oil,100,2,7.9,15.8
197,01/05/2020,Marketing,Online - Website,2,126793,Standard Delivery,Lemon oil,100,1,5.9,5.9
198,01/05/2020,Marketing,Online - Website,55,618285,Standard Delivery,Nobile Fiorentina bottle,750,1,19.9,19.9
199,01/05/2020,Marketing,Online - Website,55,618285,Standard Delivery,Nobile Marasca bottle,750,1,18.9,18.9
200,01/05/2020,Marketing,Online - Website,55,618285,Standard Delivery,Organic Bio/Olio,500,1,16.9,16.9
201,01/05/2020,Marketing,Online - Website,55,618285,Standard Delivery,Truffle oil,100,1,7.9,7.9
202,01/05/2020,Marketing,Online - Website,55,618285,Standard Delivery,Basil oil,100,1,5.9,5.9
203,01/05/2020,Marketing,Online - Website,55,618285,Standard Delivery,Garlic and Rosemary oil,100,1,5.9,5.9
204,01/05/2020,Marketing,Online - Website,55,618285,Standard Delivery,Lemon oil,100,1,5.9,5.9
205,01/05/2020,Marketing,Online - Website,55,618285,Standard Delivery,Chili oil,100,1,5.9,5.9
206,11/05/2020,Direct - B2C,Online - Website,5,328498,Standard Delivery,Nobile Marasca bottle,750,1,18.9,15.12
207,11/05/2020,Direct - B2C,Online - Website,5,328498,Standard Delivery,Truffle oil,250,1,12.9,10.32
208,11/05/2020,Direct - B2C,Online - Website,56,117422,Standard Delivery,Nobile Marasca bottle,750,1,18.9,15.12
209,11/05/2020,Direct - B2C,Online - Website,56,117422,Standard Delivery,Nobile Fiorentina bottle,750,1,19.9,15.92
210,11/05/2020,Direct - B2C,Online - Website,56,117422,Standard Delivery,Chili oil,100,2,5.9,9.44
211,11/05/2020,Direct - B2C,Online - Website,56,117422,Standard Delivery,Truffle oil,100,1,7.9,6.32
212,11/05/2020,Direct - B2C,Online - Website,56,117422,Standard Delivery,Garlic and Rosemary oil,100,1,5.9,4.72
213,12/05/2020,Direct - B2C,Online - Website,39,163078,Standard Delivery,Nobile Marasca bottle,750,1,18.9,15.12
214,12/05/2020,Direct - B2C,Online - Website,39,163078,Standard Delivery,Organic Bio/Olio,500,1,16.9,13.52
215,13/05/2020,Direct - B2C,Online - Website,57,760776,Standard Delivery,Nobile,250,2,7.9,12.64
216,13/05/2020,Direct - B2C,Online - Website,57,760776,Standard Delivery,Lemon oil,250,1,11.9,9.52
217,13/05/2020,Direct - B2C,Online - Website,58,465785,Standard Delivery,Nobile Fiorentina bottle,750,2,19.9,31.84
218,13/05/2020,Direct - B2C,Online - Website,58,465785,Standard Delivery,Nobile Marasca bottle,750,1,18.9,15.12
219,13/05/2020,Direct - B2C,Online - Website,58,465785,Standard Delivery,Nobile,250,1,7.9,6.32
220,13/05/2020,Direct - B2C,Online - Website,58,465785,Standard Delivery,Truffle oil,100,1,7.9,6.32
221,18/05/2020,Direct - B2C,Online - Website,59,670473,Standard Delivery,Organic Bio/Olio,500,5,16.9,67.6
222,18/05/2020,Direct - B2C,Online - Website,59,670473,Standard Delivery,Truffle oil,100,2,7.9,12.64
223,18/05/2020,Direct - B2C,Online - Website,59,670473,Standard Delivery,Garlic and Rosemary oil,100,1,5.9,4.72
224,18/05/2020,Direct - B2C,Online - Website,59,670473,Standard Delivery,Lemon oil,100,1,5.9,4.72
225,18/05/2020,Direct - B2C,Online - Website,60,18979,Standard Delivery,Nobile Fiorentina bottle,750,1,19.9,15.92
226,18/05/2020,Direct - B2C,Online - Website,6,598510,Standard Delivery,Organic Bio/Olio,500,2,16.9,27.04
227,18/05/2020,Direct - B2C,Online - Website,6,598510,Standard Delivery,Chili oil,100,2,5.9,9.44
228,18/05/2020,Direct - B2C,Online - Website,6,598510,Standard Delivery,Lemon oil,100,2,5.9,9.44
229,18/05/2020,Direct - B2C,Online - Website,6,598510,Standard Delivery,Truffle oil,250,1,12.9,10.32
230,18/05/2020,Direct - B2C,Online - Website,6,598510,Standard Delivery,Basil oil,100,1,5.9,4.72
231,18/05/2020,Direct - B2C,Online - Website,6,598510,Standard Delivery,Garlic and Rosemary oil,250,1,11.9,9.52
232,18/05/2020,Direct - B2C,Offline,46,589488,Standard Delivery,Nobile,5000,1,109,87.2
233,19/05/2020,Direct - B2C,Online - Website,61,266134,Standard Delivery,Nobile Fiorentina bottle,750,1,19.9,19.9
234,19/05/2020,Direct - B2C,Online - Website,61,266134,Standard Delivery,Truffle oil,100,1,7.9,7.9
235,19/05/2020,Direct - B2C,Online - Website,61,266134,Standard Delivery,Lemon oil,100,1,5.9,5.9
236,22/05/2020,Direct - B2C,Online - Website,62,126777,Standard Delivery,Nobile Marasca bottle,750,1,18.9,16.065
237,22/05/2020,Direct - B2C,Online - Website,62,126777,Standard Delivery,Truffle oil,250,3,12.9,32.895
238,22/05/2020,Direct - B2C,Online - Website,62,126777,Standard Delivery,Lemon oil,100,1,5.9,5.015
239,22/05/2020,Direct - B2C,Online - Website,62,126777,Standard Delivery,Garlic and Rosemary oil,100,1,5.9,5.015
240,22/05/2020,Marketing,Online - Website,62,126777,Standard Delivery,Basil oil,100,1,5.9,5.015
241,22/05/2020,Direct - B2C,Online - Website,63,568431,Standard Delivery,Nobile Fiorentina bottle,750,2,19.9,31.84
242,22/05/2020,Direct - B2C,Online - Website,63,568431,Standard Delivery,Organic Bio/Olio,100,1,5.9,4.72
243,22/05/2020,Marketing,Online - Website,63,568431,Standard Delivery,Chili oil,100,1,5.9,4.72
244,22/05/2020,Direct - B2C,Online - Website,64,,Standard Delivery,Nobile Fiorentina bottle,750,3,19.9,59.7
245,22/05/2020,Marketing,Online - Website,64,,Standard Delivery,Truffle oil,100,1,7.9,7.9
246,22/05/2020,Direct - B2C,Online - Website,65,101080,Standard Delivery,Truffle oil,250,1,12.9,10.32
247,22/05/2020,Direct - B2C,Online - Website,65,101080,Standard Delivery,Lemon oil,250,1,11.9,9.52
248,22/05/2020,Direct - B2C,Online - Website,65,101080,Standard Delivery,Garlic and Rosemary oil,100,1,5.9,4.72
249,22/05/2020,Direct - B2C,Online - Website,65,101080,Standard Delivery,Truffle oil,100,1,7.9,6.32
